event_type,src_zone,dst_zone,event_count_10m,unique_src_10m,asset_criticality,prior_incident_impact,is_privileged_account,geo_risk,risk_label
data_exfiltration,corp,dmz,25,12,2,0,0,1,High
suspicious_dns,vendor,corp,26,11,1,1,1,4,Medium
failed_login,corp,prod,26,9,2,0,1,1,Medium
port_scan,vendor,prod,40,19,4,3,1,4,High
failed_login,corp,dmz,15,11,4,2,1,4,Medium
suspicious_dns,internet,dmz,2,3,5,0,1,5,Medium
failed_login,internet,corp,17,4,1,0,0,3,Low
suspicious_dns,vendor,prod,5,12,4,0,1,5,Medium
port_scan,internet,corp,13,17,2,3,0,4,Medium
port_scan,corp,corp,39,6,3,2,1,3,High
port_scan,corp,dmz,30,12,1,3,1,4,High
suspicious_dns,internet,corp,37,15,2,0,1,3,High
port_scan,internet,corp,19,11,1,3,1,2,Medium
failed_login,vendor,prod,6,15,3,0,0,2,Low
port_scan,corp,corp,13,8,2,1,1,3,Medium
malware_alert,vendor,dmz,8,12,3,1,0,5,Medium
port_scan,internet,prod,16,12,5,3,1,1,High
malware_alert,vendor,corp,5,5,5,1,0,1,Medium
port_scan,corp,prod,19,12,2,1,1,1,Medium
malware_alert,corp,dmz,11,6,2,2,0,5,Medium
port_scan,vendor,dmz,13,6,5,2,1,3,Medium
failed_login,corp,corp,1,17,3,1,0,3,Low
privilege_escalation,corp,dmz,22,1,1,2,1,2,High
port_scan,corp,prod,11,9,3,2,0,3,Medium
failed_login,vendor,dmz,24,18,3,0,0,5,Medium
failed_login,corp,corp,27,2,1,1,0,1,Medium
failed_login,internet,corp,8,6,4,0,1,3,Medium
port_scan,corp,dmz,10,7,3,1,1,1,Medium
suspicious_dns,vendor,prod,35,12,5,2,1,2,High
failed_login,internet,corp,26,4,4,2,1,5,High
failed_login,corp,prod,27,20,4,2,0,4,Medium
suspicious_dns,vendor,corp,38,8,3,0,0,2,Medium
failed_login,corp,prod,35,19,1,1,1,4,Medium
port_scan,vendor,dmz,37,15,5,3,0,4,High
data_exfiltration,internet,dmz,36,8,4,3,1,2,High
failed_login,internet,corp,36,14,2,1,0,4,Medium
privilege_escalation,corp,dmz,33,4,3,2,1,2,High
port_scan,vendor,dmz,6,16,5,3,1,5,Medium
failed_login,vendor,corp,11,2,1,1,1,3,Medium
malware_alert,vendor,prod,33,5,4,3,1,5,High
failed_login,internet,dmz,34,16,5,0,1,2,Medium
failed_login,corp,corp,11,1,3,0,1,1,Medium
port_scan,corp,dmz,6,20,4,2,0,5,Medium
suspicious_dns,internet,dmz,38,6,1,1,0,4,Medium
failed_login,corp,dmz,27,7,1,2,1,4,Medium
failed_login,vendor,prod,17,7,5,2,0,2,Medium
failed_login,corp,prod,2,7,3,2,0,4,Medium
port_scan,corp,dmz,39,19,3,0,1,1,High
data_exfiltration,internet,corp,1,19,5,2,1,2,High
failed_login,internet,prod,24,10,5,2,1,1,Medium
malware_alert,internet,corp,36,4,2,0,0,4,High
failed_login,vendor,dmz,19,9,4,1,0,1,Medium
port_scan,corp,dmz,4,19,1,3,1,1,Medium
privilege_escalation,internet,dmz,18,3,1,1,1,3,High
data_exfiltration,corp,prod,8,8,1,2,0,1,Medium
suspicious_dns,corp,corp,2,9,4,0,0,2,Medium
failed_login,corp,dmz,3,1,2,3,0,5,Medium
failed_login,vendor,prod,11,16,2,3,0,2,Medium
failed_login,vendor,prod,22,20,4,3,0,2,Medium
data_exfiltration,vendor,prod,40,16,5,2,1,4,High
data_exfiltration,corp,prod,27,15,4,2,1,3,High
suspicious_dns,vendor,corp,23,18,1,0,1,3,Medium
privilege_escalation,vendor,corp,7,16,1,1,0,3,Medium
data_exfiltration,vendor,dmz,36,1,2,2,0,2,High
port_scan,internet,prod,11,12,2,3,0,3,Medium
failed_login,corp,prod,35,20,1,0,1,3,Medium
port_scan,corp,prod,19,15,5,1,1,1,Medium
port_scan,corp,prod,2,1,2,0,1,1,Low
failed_login,vendor,corp,16,7,4,2,0,5,Medium
suspicious_dns,corp,dmz,11,13,2,2,1,2,Medium
port_scan,vendor,dmz,6,16,5,2,1,5,Medium
port_scan,internet,corp,24,10,5,0,1,2,Medium
suspicious_dns,corp,corp,7,15,3,3,0,1,Medium
failed_login,internet,prod,36,2,5,2,0,3,High
failed_login,internet,corp,30,10,1,0,0,4,Medium
suspicious_dns,internet,prod,5,19,1,1,0,1,Low
failed_login,corp,dmz,33,12,3,1,0,5,Medium
suspicious_dns,corp,dmz,40,3,4,2,0,3,High
failed_login,vendor,corp,29,18,4,2,1,5,High
failed_login,internet,prod,29,7,1,0,1,3,Medium
failed_login,internet,prod,1,1,3,2,0,1,Low
port_scan,internet,dmz,2,4,4,2,0,2,Medium
port_scan,vendor,dmz,21,17,5,1,0,2,Medium
data_exfiltration,internet,dmz,28,9,1,1,0,3,High
failed_login,corp,dmz,2,10,5,0,0,5,Low
failed_login,internet,prod,38,16,4,0,0,5,Medium
failed_login,vendor,dmz,19,14,1,2,1,3,Medium
port_scan,vendor,dmz,9,15,4,3,1,4,Medium
port_scan,internet,dmz,18,7,4,0,1,3,Medium
failed_login,internet,prod,15,3,5,0,0,3,Medium
failed_login,vendor,prod,23,4,3,2,0,2,Medium
port_scan,internet,corp,39,18,1,0,1,5,High
failed_login,corp,corp,1,16,5,1,0,2,Low
suspicious_dns,internet,prod,29,20,5,2,0,4,High
failed_login,corp,corp,31,15,2,2,0,4,Medium
failed_login,vendor,dmz,13,14,1,1,1,3,Medium
data_exfiltration,corp,prod,10,12,5,3,1,2,High
failed_login,internet,dmz,22,9,1,3,1,4,Medium
privilege_escalation,internet,prod,32,6,1,0,1,3,High
privilege_escalation,corp,prod,39,16,5,2,0,2,High
failed_login,vendor,corp,7,17,3,3,1,2,Medium
malware_alert,internet,corp,31,2,1,3,0,2,High
port_scan,internet,dmz,34,4,1,0,1,4,Medium
port_scan,internet,dmz,33,9,3,0,0,3,Medium
suspicious_dns,vendor,dmz,2,11,4,0,0,1,Low
suspicious_dns,vendor,prod,27,9,2,0,0,5,Medium
failed_login,vendor,corp,39,8,2,0,0,2,Medium
failed_login,vendor,dmz,6,4,3,2,1,3,Medium
data_exfiltration,corp,prod,23,19,5,1,1,5,High
failed_login,internet,dmz,22,9,3,3,1,1,Medium
port_scan,corp,dmz,13,13,5,0,0,2,Medium
failed_login,internet,dmz,26,5,1,2,1,5,Medium
port_scan,internet,dmz,35,15,3,1,1,4,High
suspicious_dns,vendor,corp,8,12,1,3,1,4,Medium
suspicious_dns,corp,prod,9,18,3,1,1,3,Medium
suspicious_dns,internet,dmz,7,9,5,1,1,1,Medium
failed_login,corp,prod,17,6,5,1,0,3,Medium
failed_login,corp,corp,31,12,3,3,1,4,High
port_scan,corp,corp,22,9,3,2,1,4,High
port_scan,internet,corp,9,18,2,3,0,3,Medium
failed_login,internet,prod,31,8,5,1,1,2,High
malware_alert,vendor,prod,14,19,5,3,0,3,High
suspicious_dns,vendor,prod,29,7,1,1,0,1,Medium
suspicious_dns,internet,prod,1,5,1,0,0,5,Low
failed_login,internet,dmz,36,18,3,1,0,3,Medium
port_scan,internet,prod,12,2,2,2,1,2,Medium
port_scan,corp,dmz,8,1,5,2,1,5,Medium
port_scan,corp,prod,19,16,5,0,1,2,Medium
failed_login,internet,dmz,16,7,5,2,1,1,Medium
suspicious_dns,vendor,corp,8,3,3,0,0,1,Medium
failed_login,vendor,dmz,36,20,1,2,0,3,Medium
failed_login,vendor,prod,3,18,5,3,1,4,Medium
suspicious_dns,internet,dmz,7,14,1,2,0,1,Medium
failed_login,corp,dmz,22,3,3,1,1,4,Medium
failed_login,internet,dmz,7,20,5,3,0,4,Medium
failed_login,corp,corp,20,20,5,0,0,2,Medium
failed_login,internet,dmz,24,6,2,3,1,1,Medium
failed_login,internet,prod,35,20,3,3,1,1,High
failed_login,vendor,prod,4,15,2,2,1,3,Medium
privilege_escalation,internet,prod,5,11,4,0,0,3,Medium
malware_alert,internet,dmz,37,9,5,2,1,3,High
failed_login,corp,dmz,39,8,2,0,1,1,Medium
data_exfiltration,internet,prod,23,20,2,2,1,3,High
failed_login,corp,prod,21,11,4,3,1,2,Medium
failed_login,internet,dmz,37,13,4,3,0,1,High
malware_alert,internet,prod,18,5,1,2,0,5,Medium
failed_login,internet,corp,19,10,1,1,1,2,Medium
suspicious_dns,internet,dmz,20,10,2,3,1,1,Medium
port_scan,internet,dmz,35,20,4,2,0,2,High
failed_login,corp,prod,25,2,5,3,1,1,High
failed_login,internet,dmz,7,19,2,1,1,4,Medium
failed_login,corp,dmz,13,16,3,2,1,5,Medium
failed_login,corp,dmz,34,14,3,2,0,3,Medium
suspicious_dns,vendor,prod,35,16,1,0,1,3,Medium
port_scan,internet,dmz,1,5,3,2,1,3,Medium
malware_alert,vendor,dmz,25,5,1,0,1,1,Medium
failed_login,vendor,corp,7,9,1,1,0,4,Low
malware_alert,vendor,corp,17,15,4,1,1,5,High
suspicious_dns,internet,corp,30,3,5,3,1,2,High
port_scan,internet,corp,10,1,4,3,0,5,Medium
port_scan,vendor,corp,25,12,4,2,1,4,High
failed_login,corp,prod,35,12,5,1,0,4,High
port_scan,vendor,dmz,4,10,3,0,0,4,Low
malware_alert,vendor,prod,8,8,5,1,0,4,Medium
failed_login,internet,dmz,30,8,1,2,1,5,Medium
port_scan,corp,prod,7,16,1,1,1,3,Medium
failed_login,corp,prod,4,10,5,1,0,1,Medium
malware_alert,vendor,corp,7,18,2,3,0,1,Medium
failed_login,internet,dmz,31,20,4,2,0,3,Medium
port_scan,internet,corp,16,11,1,3,0,4,Medium
malware_alert,corp,corp,39,4,2,2,1,1,High
port_scan,vendor,dmz,17,8,1,2,0,5,Medium
port_scan,vendor,prod,14,19,1,2,1,1,Medium
failed_login,corp,dmz,37,19,4,0,1,4,High
failed_login,corp,prod,17,20,4,1,0,4,Medium
failed_login,corp,corp,16,7,5,3,0,4,Medium
failed_login,corp,dmz,18,14,2,3,1,2,Medium
port_scan,internet,corp,39,13,4,3,1,1,High
failed_login,internet,dmz,9,16,5,1,0,4,Medium
data_exfiltration,internet,prod,16,8,3,0,1,2,High
failed_login,vendor,corp,13,20,2,0,0,2,Low
failed_login,vendor,dmz,18,7,3,3,1,2,Medium
port_scan,vendor,dmz,15,2,1,2,1,1,Medium
suspicious_dns,vendor,corp,23,14,5,0,1,4,High
failed_login,vendor,prod,5,14,5,3,1,1,Medium
suspicious_dns,corp,dmz,24,18,5,2,0,3,High
failed_login,vendor,prod,5,19,1,2,1,4,Medium
port_scan,vendor,corp,15,7,3,2,0,1,Medium
data_exfiltration,vendor,prod,5,12,2,1,0,3,Medium
port_scan,internet,corp,11,19,5,1,0,1,Medium
failed_login,corp,corp,7,11,3,3,0,2,Medium
suspicious_dns,internet,prod,8,13,3,0,1,3,Medium
failed_login,internet,prod,31,8,1,0,0,1,Medium
failed_login,internet,prod,24,5,3,1,1,5,Medium
suspicious_dns,vendor,corp,3,18,1,0,1,1,Low
port_scan,vendor,corp,4,17,5,3,1,3,Medium
failed_login,vendor,corp,14,13,5,2,1,2,Medium
failed_login,internet,dmz,35,16,2,1,0,1,Medium
failed_login,corp,dmz,11,5,5,0,0,3,Medium
suspicious_dns,vendor,dmz,5,1,3,3,0,4,Medium
failed_login,corp,prod,13,4,2,3,1,2,Medium
port_scan,corp,prod,39,10,4,1,1,2,High
failed_login,internet,prod,13,9,2,2,0,4,Medium
malware_alert,vendor,dmz,24,19,5,2,1,1,High
suspicious_dns,vendor,dmz,28,7,3,1,1,2,High
suspicious_dns,vendor,corp,10,7,4,1,1,5,Medium
failed_login,vendor,dmz,39,13,4,3,0,4,High
failed_login,internet,prod,11,1,4,2,0,2,Medium
privilege_escalation,internet,prod,40,5,4,0,1,2,High
port_scan,internet,corp,5,15,4,0,1,1,Medium
failed_login,internet,corp,7,5,5,1,0,4,Medium
port_scan,vendor,corp,24,9,1,0,1,2,Medium
failed_login,vendor,corp,8,20,4,3,1,4,Medium
failed_login,internet,dmz,11,8,1,1,1,3,Medium
failed_login,corp,dmz,9,15,1,2,1,4,Medium
port_scan,corp,corp,37,11,2,1,0,1,Medium
suspicious_dns,vendor,dmz,40,11,2,2,0,2,High
failed_login,vendor,prod,37,14,3,3,0,5,High
failed_login,internet,dmz,3,2,3,2,0,1,Low
suspicious_dns,vendor,corp,6,3,3,0,1,5,Medium
port_scan,vendor,dmz,31,4,5,1,1,1,High
failed_login,vendor,corp,32,5,4,3,1,5,High
port_scan,vendor,prod,12,11,2,0,1,5,Medium
port_scan,vendor,dmz,12,7,3,2,1,5,Medium
data_exfiltration,corp,dmz,21,19,3,1,0,1,High
failed_login,corp,corp,14,13,3,0,1,4,Medium
failed_login,corp,prod,8,2,5,0,0,2,Medium
malware_alert,vendor,prod,8,10,5,3,0,1,Medium
suspicious_dns,vendor,corp,30,13,5,2,0,5,High
failed_login,internet,dmz,13,16,3,0,0,5,Medium
port_scan,internet,prod,20,17,5,1,1,1,Medium
port_scan,vendor,corp,16,4,1,1,1,3,Medium
port_scan,internet,corp,36,8,2,2,1,2,High
port_scan,vendor,prod,16,16,3,1,1,3,Medium
failed_login,internet,corp,32,15,1,0,0,2,Medium
malware_alert,vendor,dmz,31,18,4,1,1,1,High
port_scan,vendor,dmz,13,18,4,0,1,3,Medium
port_scan,vendor,prod,31,9,4,0,1,4,High
port_scan,corp,prod,23,15,5,0,0,1,Medium
malware_alert,corp,dmz,16,2,5,0,1,2,Medium
failed_login,vendor,prod,17,20,1,3,1,1,Medium
port_scan,corp,prod,5,5,2,0,0,2,Low
port_scan,internet,prod,18,9,4,0,0,3,Medium
data_exfiltration,vendor,corp,35,5,5,3,1,2,High
failed_login,corp,prod,7,11,5,1,1,2,Medium
suspicious_dns,internet,prod,10,10,3,0,1,5,Medium
port_scan,corp,dmz,29,16,5,0,1,3,High
failed_login,vendor,corp,16,8,3,0,1,5,Medium
privilege_escalation,internet,prod,11,16,5,1,0,2,High
port_scan,vendor,prod,8,14,5,0,1,4,Medium
failed_login,corp,prod,28,19,4,3,0,1,Medium
port_scan,vendor,dmz,36,20,2,1,0,5,Medium
failed_login,vendor,corp,40,9,4,1,0,5,High
suspicious_dns,vendor,dmz,14,4,5,2,1,4,High
privilege_escalation,vendor,dmz,7,16,4,1,0,3,Medium
port_scan,internet,prod,27,1,2,2,0,2,Medium
failed_login,corp,dmz,2,12,3,1,0,5,Low
suspicious_dns,internet,prod,38,3,1,1,0,1,Medium
failed_login,internet,dmz,31,5,5,2,0,4,High
failed_login,vendor,dmz,11,17,1,1,0,5,Low
failed_login,corp,corp,2,13,5,1,1,3,Medium
port_scan,corp,prod,24,7,5,2,0,4,High
suspicious_dns,internet,dmz,27,9,5,3,0,5,High
suspicious_dns,internet,dmz,15,13,5,3,0,4,High
port_scan,internet,prod,23,8,2,1,0,3,Medium
data_exfiltration,corp,dmz,19,1,1,1,0,3,High
malware_alert,internet,prod,15,15,5,2,0,3,High
failed_login,vendor,dmz,29,6,3,1,1,3,Medium
failed_login,internet,dmz,39,2,1,3,1,4,High
port_scan,internet,prod,9,5,2,3,0,3,Medium
privilege_escalation,internet,corp,12,2,2,0,0,2,Medium
failed_login,corp,prod,20,18,3,2,0,1,Medium
port_scan,vendor,corp,13,20,1,0,0,5,Medium
port_scan,internet,prod,25,18,4,0,1,3,Medium
failed_login,vendor,prod,10,17,1,3,1,1,Medium
failed_login,corp,corp,6,16,2,0,0,1,Low
failed_login,corp,prod,34,3,3,0,0,1,Medium
malware_alert,corp,dmz,2,19,2,0,1,2,Medium
failed_login,vendor,dmz,31,8,5,1,1,4,High
malware_alert,vendor,prod,25,3,1,1,0,4,Medium
failed_login,vendor,corp,16,6,1,3,0,3,Medium
port_scan,internet,prod,36,11,2,0,0,2,Medium
port_scan,internet,dmz,30,2,4,2,1,4,High
failed_login,internet,corp,2,2,3,3,1,2,Medium
suspicious_dns,corp,dmz,21,1,4,1,1,3,Medium
suspicious_dns,corp,prod,23,6,3,3,0,3,Medium
failed_login,internet,corp,10,16,4,0,1,1,Medium
failed_login,internet,corp,11,14,3,1,1,3,Medium
port_scan,corp,prod,32,4,1,3,1,5,High
failed_login,internet,prod,23,17,3,1,1,1,Medium
failed_login,internet,dmz,26,4,1,0,1,4,Medium
failed_login,internet,dmz,4,8,3,2,0,1,Low
port_scan,vendor,corp,23,20,5,0,0,5,Medium
port_scan,corp,corp,7,2,2,2,0,3,Medium
port_scan,corp,dmz,7,13,5,1,0,3,Medium
data_exfiltration,corp,dmz,26,18,3,0,0,5,High
port_scan,vendor,corp,28,1,4,3,0,4,High
failed_login,internet,corp,35,4,2,0,1,1,Medium
failed_login,internet,dmz,35,8,4,3,0,5,High
failed_login,vendor,corp,14,20,5,0,1,3,Medium
data_exfiltration,vendor,corp,16,6,1,2,0,3,High
port_scan,corp,prod,29,1,2,2,1,3,High
failed_login,internet,dmz,4,1,2,3,1,3,Medium
malware_alert,vendor,prod,8,10,1,0,0,2,Medium
malware_alert,internet,prod,31,11,1,1,1,1,High
port_scan,corp,prod,5,6,2,1,1,1,Medium
failed_login,vendor,dmz,15,19,2,2,0,2,Medium
failed_login,internet,corp,36,13,2,2,1,1,Medium
port_scan,internet,corp,24,13,1,0,0,4,Medium
failed_login,internet,prod,40,13,2,1,1,3,High
malware_alert,corp,dmz,6,8,5,3,0,3,Medium
failed_login,internet,corp,29,4,1,2,0,1,Medium
port_scan,internet,prod,14,13,1,0,1,4,Medium
failed_login,internet,prod,34,3,2,0,0,5,Medium
port_scan,corp,prod,9,10,2,0,0,2,Low
port_scan,corp,dmz,30,8,4,3,0,1,High
port_scan,vendor,corp,34,4,3,1,1,3,High
failed_login,vendor,prod,13,8,4,2,0,3,Medium
privilege_escalation,vendor,dmz,1,12,4,3,0,5,High
data_exfiltration,vendor,prod,9,6,1,3,1,4,High
port_scan,vendor,dmz,31,10,5,3,0,5,High
port_scan,internet,corp,33,5,3,2,1,1,High
port_scan,corp,prod,34,18,3,1,0,1,Medium
